V1↓ / V2→,i,ɯ,u,ɔ,ɑ
i,,,iu,iɔ,iɑ
ɯ,ɯi,,ɯu,ɯɔ,
u,ui,,,,uɑ
ɔ,ɔi,,,,ɔɑ
ɑ,ɑi,,ɑu,,
