oodham,english,partOfSpeech,pattern,pronunciation,reduplicated,redup_pronunciation,redup_meaning,dialect,dialect_id,examples,sing_audio,pl_audio,image,example_audio,
’o:,back (of the body),noun,4,[ʔɔː],’o’o,[ˈʔɔ.ʔɔ],backs (of the body),Any,,S-mohogid g ñ-’o:.::My back itches.,audio/backbody.mp3,audio/backs.mp3,,audio/examples/mybackitches.mp3,
cekva,ankle,noun,1,[ˈcɯk.vɑ],ceckva,[ˈcɯck.vɑ],ankles,Any,,Vapt o va s-ko’okam ju: g ’e-cekva.::You’re going to hurt your ankle.,audio/ankle.mp3,audio/ankles.mp3,,audio/examples/youregoingtohurtyourankle.mp3,
ce:gig,name,noun,3,[ˈcɯː.gig̥],cecgig,[ˈcɯc.gig̥],names,Any,,’An g ’o’ohon g ’e-ce:gig.::Write your name down.,audio/name.mp3,audio/names.mp3,,audio/examples/writeyournamedown.mp3,
ṣondal,soldier,noun,2,[ˈʂɔn.d̪ɑɽ̥],ṣoṣondal,[ˈʂɔ.ʂɔn.d̪ɑɽ̥],soldiers,Any,,No ḍ ge ṣondal g m-maḍ?::Is your child a soldier (in the army)?,audio/soldier.mp3,audio/soldiers.mp3,,audio/examples/isyourchildasoldier.mp3,
ṣavkuḍ,rattle,noun,2,[ˈʂɑv̥.kuɖ̥],ṣaṣavkuḍ,[ˈʂɑ.ʂɑv̥.kuɖ̥],rattles,Any,,Do: t m-na:tojul ’i:da ṣavkuḍ?::Who made you this rattle?,audio/rattle.mp3,audio/rattles.mp3,,audio/examples/whomadeyouthisrattle.mp3,
’o:’o,bone / bones,noun,,[ˈʔɔː.ʔɔ],,,,Any,,He’ekio ’o:’o ’an hab cu’ig t-cu:kug ’eḍa?::How many bones do we have in our body?,audio/bone.mp3,,,audio/examples/howmanybonesdowehaveinourbody.mp3,
koṣva,skull,noun,1,[ˈkɔʂ.vɑ],kokṣva,[ˈkɔkʂ.vɑ],skulls,Any,,"’I:da s-kavk ha’icu mo ’an hab cu’ig t-mo’o ’eḍ ’o ḍ ""koṣva"".::This hard thing in our heads is the skull.",audio/skull.mp3,audio/skulls.mp3,,audio/examples/thishardthinginourheadisaskull.mp3,
mavid,mountain lion,noun,7,[ˈmɑ.vid̪],maipid,[ˈmɑi.pid̪],mountain lions,Any,,Nap hebi hema ñeid g mavid?::Have you ever seen a mountain lion?,audio/mountainlion.mp3,audio/mountainlions.mp3,,audio/examples/haveyoueverseenamountainlion.mp3,
gevo,bobcat,noun,2,[ˈgɯ.vɔ],gegevo,[ˈgɯ.gɯ.vɔ],bobcats,Any,,S-’a’amḍak g gegevo.::The bobcats are friendly.,audio/bobcat.mp3,audio/bobcats.mp3,,audio/examples/thebobcatsarefriendly.mp3,
cevo,gopher,noun,2,[ˈcɯ.vɔ],cecevo,[ˈcɯ.cɯ.vɔ],gophers,Any,,"Hegi ha’icu doakam mo ’an si mu’i va:pagt ’o hab ’e-’a’aga ""cevo"".::The animal that makes a bunch of holes in the groud is called ""gopher"".",audio/gopher.mp3,audio/gophers.mp3,,audio/examples/theanimalthatmakesalotofholesinthegroundiscalledgopher.mp3,4
navoj,friend,noun,7,[ˈnɑ.vɔɟ̥],naupoj,[ˈnɑu.pɔɟ̥],friends,Any,,No ḍ ’i:da g m-navoj?::Is this your friend?,audio/friend.mp3,audio/friends.mp3,,audio/examples/isthisyourfriend.mp3,
ho’ibaḍ,needle,noun,2,[ˈhɔ.ʔi.bɑɖ̥],hoho’ibaḍ,[ˈhɔ..hɔ.ʔi.bɑɖ̥],needles,Any,,S-mu’uk g ho’ibaḍ.::The needle is sharp.,audio/needle.mp3,audio/needles.mp3,,audio/examples/theneedleissharp.mp3,
cemait,tortilla,noun,2,[ˈcɯ.mɑit̥],cecemait,[ˈcɯ.cɯ.mɑit̥],tortillas,Any,,Hema ñ-ma:k g cemait.::Give me a tortilla.,audio/tortilla.mp3,audio/tortillas.mp3,,audio/examples/givemeatortilla.mp3,
tlo:gi,truck,noun,7,[ˈtɽɔː.gi],tlolgi,[ˈtɽɔɽ.gi],trucks,Any,,Napt nolavt hegi tlo:gi?::Did you buy that truck?,audio/truck.mp3,audio/trucks.mp3,,audio/examples/didyoubuythattruck.mp3,
maṣcamakuḍ,school,noun,1,[ˈmɑʂ.cɑ.mɑ.kuɖ̥],mamṣcamakuḍ,[ˈmɑmʂ.cɑ.mɑ.kuɖ̥],schools,Any,,Ba: ’o ke:k g maṣcamakuḍ?::Where is the school located?,audio/school.mp3,audio/schools.mp3,,audio/examples/whereistheschoollocated.mp3,
ma:kig,gift; present / gifts; presents,noun,,[ˈmɑː.kig̥],,,,Any,,,audio/gift.mp3,,,,
’e:’eḍ,blood,noun,,[ˈʔɯː.ʔɯɖ̥],,,,Any,,,audio/blood.mp3,,,,
maṣad,moon; month,noun,1,[ˈmɑ.ʂɑd̪̥],mamṣad,[ˈmɑm.ʂɑd̪̥],moons; months,Any,,,audio/moon.mp3,audio/moons.mp3,,,
taṣ,day; sun; time,noun,,[t̪ɑʂ],,,,Any,,,audio/sun.mp3,,,,
givuḍ,belt,noun,2,[ˈgi.vuɖ̥],gigivuḍ,[ˈgi.vuɖ̥],belt,Any,,,audio/belt.mp3,audio/belts.mp3,,,
bo:l,ball ,noun,4,[bɔːɽ̥],bobol,[ˈbɔ.bɔɽ̥],balls,Any,,Hegam 'a'al 'o 'am cicvi g bo:l.::Those kids are playing ball.,,,,audio/examples/thosekidsareplayingball.mp3,
cekṣañ,"line, boundary (of land), border",noun,1,[ˈcɯk.ʂɑɲ̥],ceckṣañ,[ˈcɯck.ʂɑɲ],"lines, boundaries (of land), borders",Any,,’An g ’o’ohon g cekṣañ ’i:ya.::Draw a line here.,,,,audio/examples/drawalinehere.mp3,
nanakmel,bat / bats,noun,,[ˈnɑ.nɑk.mɯɽ̥],,,,Any,,,,,,,
vonamĭ,hat,noun,1,[ˈvɔ.nɑ.mĭ],vopnamĭ,[ˈvɔp.nɑ.mĭ],hats,Any,,,,,,,
si:l,saddle,noun,4,[siːɽ̥],sisisl,[ˈsi.siɽ̥],saddles,Any,,I naggia g si:l.::Hang up the saddle.,,,,audio/examples/hangupthesaddle.mp3,
je’e,"mom, mother",noun,7,[ˈɟɯ.ʔɯ],je:j,[ɟɯːɟ̥],"moms, mothers",Any,,,,,,,
’o:g,"dad, father",noun,4,[ʔɔːg̥],’o’og,[ʔɔ.ʔɔg̥],"dads, fathers",Any,,,,,,,
je’es,"uncle, mom’s older brother",noun,7,[ˈɟɯ.ʔɯs],je:jes,[ˈɟɯː.ɟɯs],"uncles, mom’s older brothers",Any,,,,,,,
da:d,"aunt, mom’s older sister",noun,7,[d̪ɑːd̪̥],da:da’a,[d̪ɑː.d̪̥ɑ.ʔɑ],"aunts, mom’s older sisters",Any,,,,,,,
tatal,"uncle, mom’s younger brother",noun,7,[ˈt̪ɑ.t̪ɑɽ̥],ta:tal,[ˈt̪ɑː.t̪ɑɽ̥],"uncles, mom’s younger brothers",Any,,,,,,,
ji:ji’i,"aunt, mom’s younger sister",noun,7,[ˈɟiː.ɟi.ʔi],jijsi,[ˈɟiɟ.si],"aunts, mom’s younger sisters",Ak-Chin || Any,akchin,,,,,,
ke:li,"uncle, dad’s older brother",noun,7,[ˈkɯː.ɽi],kekel,[ˈkɯ.kɯɽ],"uncles, dad’s older brothers",Any,,,,,,,
’oksi,"aunt, dad’s older sister",noun,2,[ˈʔɔk.si],’o’oksi,[ˈʔɔ.ʔɔk.si],"aunts, dad’s older sisters",Any,,,,,,,
hakit,"uncle, dad’s younger brother",noun,7,[ˈhɑ.kit̪],ha:kit,[ˈhɑː.kit̪],"uncles, dad’s younger brothers",Any,,,,,,,
vovoit,"aunt, dad’s younger sister",noun,7,[ˈvɔ.vɔit̪],vopoit,[ˈvɔ.pɔit̪],"aunts, dad’s younger sisters",Any,,,,,,,
ba:ba’a,"grandpa, mom’s dad",noun,7,[ˈbɑː.bɑ.ʔɑ],ba:bab,[ˈbɑː.bɑb̥],"grandpas, fathers of mothers",Ak-Chin || Any,akchin,,,,,,
lu:lu’u,"grandma, mom’s mom",noun,7,[ˈɽuː.ɽu.ʔu],huhu’ul,[ˈhu.hu.ʔuɽ̥],"grandmas, mothers of mothers",Ak-Chin || Any,akchin,,,,,,
vosk,"grandpa, dad’s dad",noun,1,[vɔsk],vopsk,[vɔpsk],"grandpas, fathers of fathers",Any,,,,,,,
ga:ga’a,"grandma, dad’s mom",noun,7,[ˈgɑː.gɑ.ʔɑ],ka:kak,[ˈkɑː.kɑk],"grandmas, mothers of fathers",Ak-Chin || Any,akchin,,,,,,
maḍ,child of a woman; nephew of niece of mom’s older siblings,noun,7,[mɑɖ̥],ma:maḍ,[mɑː.mɑɖ̥],children of a woman; nephews or nieces of mom’s older siblings,Any,,,,,,,
’alidag,child of a man,noun,2,[ˈʔɑ.ɽi.d̪ɑg̥],’a’alidag,[ˈʔɑ.ʔɑ.ɽi.d̪ɑg̥],children of a man,Any,,,,,,,
mo:s,grandchild of mom’s mom,noun,1,[mɔːs],mo:ms,[mɔːms],grandchildren of mom’s mom,Any,,,,,,,
ba’amaḍ,grandchild of mom’s dad,noun,7,[ˈbɑ.ʔɑ.mɑɖ̻],ba:bmaḍ,[ˈbɑːb.mɑɖ̻],grandchildren of mom’s dad,Any,,,,,,,
vosmaḍ,grandchild of dad’s dad,noun,1,[ˈvɔs.mɑɖ̻],vopsmaḍ,[ˈvɔps.mɑɖ̻],grandchildren of dad’s dad,Any,,,,,,,
ka’amaḍ,grandchild of dad’s mom,noun,7,[ˈkɑ.ʔɑ.mɑɖ̻],ka:kmaḍ,[ˈkɑːk.mɑɖ̻],grandchildren of dad’s mom,Any,,,,,,,
ma’i,nephew of niece of mom’s younger siblings,noun,2,[ˈmɑ.ʔi],mama’i,[ˈmɑ.mɑ.ʔi],nephews or nieces of mom’s younger siblings,Any,,,,,,,
cu:cuḍ,nephew of niece of dad’s older siblings,noun,1,[ˈcuː.cuɖ̥],cu:ccuḍ,[ˈcuːc.cuɖ̥],nephews or nieces of dad’s older siblings,Any,,,,,,,
hakimaḍ,nephew of niece of dad’s younger siblings,noun,2,[ˈha.ki.mɑɖ̥],ha:kimaḍ,[ˈhaː.ki.mɑɖ̥],nephews or nieces of dad’s younger siblings,Any,,,,,,,
ve:nag,sibling; cousin,noun,3,[ˈvɯː.vɑg̥],vepnag,[ˈvɯp.vɑg̥],siblings; cousins,Any,,,,,,,
si:s,older sibling,noun,4,[siːs],sisis,[si.sis],older siblings,Any,,,,,,,
sikul,younger sibling,noun,1,[ˈsi.kuɽ̥],siskul,[ˈsis.kuɽ̥],younger siblings,Any,,,,,,,
hajuñ,relative,noun,1,[ˈhɑ.ɟuɲ̥],hahajuñ,[ˈhɑ.hɑ.ɟuɲ̥],relatives,Any,,,,,,,
vijina,rope,noun,1,[ˈvi.ɟi.nɑ],vipjina,[ˈvip.ɟi.nɑ],ropes,Any,,,,,,,
kostal,bag,noun,1,[ˈkɔs.tɑɽ̥],kokstal,[ˈkɔks.tɑɽ̥],bags,Any,,,,,,,
hoa,basket,noun,1,[hɔɑ],hoha,[ˈhɔ.hɑ],baskets,Tohono O’odham || Any,tohono,,,,,,
ko:ba,cup,noun,4,[ˈkɔː.bɑ],kokoba,[ˈkɔ.kɔ.bɑ],cups,Any,,,,,,,
vaika,ditch,noun,2,[ˈvɑi.kɑ],vapaika,[ˈvɑ.pɑi.kɑ],ditches,Any,,,,,,,
