oodham,english,partOfSpeech,pattern,pronunciation,reduplicated,redup_pronunciation,redup_meaning,dialect,dialect_id,examples,sing_audio,pl_audio,image,example_audio,
viohog,mesquite bean,noun,,[ˈvjɔ.hɔg̥],,,,Ak-Chin || Any,,Ant o vi:p g viohog.::I'm going to chew on some mesquite beans.,audio/mesquitebean.mp3,,images/mesquitebean.png,audio/examples/imgoingtochewonsomemesquitebeans.mp3,
kui,"mesquite tree, tree (general)",noun,2,[kwi],kukui,[ˈku.kwi],"mesquites, trees",Any,,Cevaj g kui.::The tree is tall.,audio/mesquitetree.mp3,audio/mesquitetrees.mp3,,audio/examples/thetreeistall.mp3,
ṣaliv,pair of pants,noun,2,[ˈʂɑ.ɽiv̥],ṣaṣaliv,[ˈʂɑ.ʂɑ.ɽiv̥],pairs of pants,Any,,’Ant o vakoa g ñ-ṣaliv.::I’m going to wash my pants.||’An g ha-na:ngia g ṣaṣaliv.::Hang up the pairs of pants.,audio/pants.mp3,audio/pantspairs.mp3,,audio/examples/imgoingtowashmypants.mp3||audio/examples/hangupthepairsofpants.mp3,
tapial,paper,noun,1,[ˈt̪ɑp.iɑɽ̥],tatpial,[ˈt̪ɑtp.jɑɽ̥],papers,Any,,’O’ohon g ’e-ce:gig ’id ’ab tapial.::Sign your name on this paper.,audio/paper.mp3,audio/papers.mp3,,audio/examples/signyournameonthispaper.mp3,
mo’ockuḍ,pillow,noun,7,[ˈmɔ.ʔɔc.kuɖ̥],mo:mckuḍ,[ˈmɔːmc.kuɖ̥],pillows,Any,,Ge habaḍk g ñ-mo’ockuḍ!::My pillow’s just flat!,audio/pillow.mp3,audio/pillows.mp3,,audio/examples/mypillowsjustflat.mp3,
hodi,"rock, stone",noun,2,[ˈhɔ.d̪i],hohodi,[ˈhɔ.hɔ.d̪i],"rocks, stones",Any,,Hema g da’icud g hodi!::Throw a rock!,audio/rock.mp3,audio/rocks.mp3,,audio/examples/throwarock.mp3,
mumku,"sick, being sick","verb, intransitive",,[ˈmum.ku],,,,Any,,Nap mumku?::Are you sick?,audio/sick.mp3,audio/sicks.mp3,,audio/examples/areyousick.mp3,
vindoñ,window,noun,2,[ˈvin.d̪ɔɲ̥],vipindoñ,[ˈvi.pin.d̪ɔɲ̥],windows,Any,,’I ku:p g vindoñ.::Close the window.||Ṣa s-bibtagĭ g vipindoñ.::The windows are kind of dirty.,audio/window.mp3,audio/windows.mp3,,audio/examples/closethewindow.mp3||audio/examples/thewindowsarekindofdirty.mp3,
ki:,house,noun,7,[kiː],ki:kĭ,[ˈkiː.kĭ],houses,Any,,Hebi ke:k g m-ki:?::Where is your house?||Go:k ki:k ’o cu:c ’im hab ha’ap.::There are two houses on the other side of there.,audio/house.mp3,audio/houses.mp3,,audio/examples/whereisyourhouse.mp3||audio/examples/therearetwohousesontheothersideofthere.mp3,
hoas-ha’a,plate,noun,7,[ˈhwɑ.sɑ.ʔɑ],hoahas-haha’a,[ˈhwɑ.hɑ.ˌsɑ.hɑ.ʔɑ],plates,Any,,Hema g hekaj g hoas-ha’a.::Use a plate.||M o si ha-vapkoa g hoahas-haha’a.::Wash the plates good.,audio/plate.mp3,audio/plates.mp3,,audio/examples/useaplate.mp3||audio/examples/washtheplatesgood.mp3,
